x_min	y_min	x_max	y_max	conf	text
1572	888	1715	926	99.98	Measurement
1317	884	1460	926	95.21	 Gross Weight
834	891	1035	921	99.80	Description of Goods
398	880	588	910	99.83	Quantity/Number of
97	876	342	915	99.59	Container Nos./Seal Nos.
225	829	1612	864	98.01	PARTICULARS AS DECLARED BY SHIPPER, WITHOUT RESPONSIBLITY OR WARRANTY AS TO CORRECTNESS BY CARRIER(see clause 15)
861	775	1007	805	98.28	THREE (3)
71	743	504	784	95.36	 .KOLKATA -' 700001 INDIA *
1314	731	1759	759	96.00	Merchant Declared Value( see clause 7(6) & 31(3) :
857	726	1087	759	98.37	Number of original B/Ls
82	722	475	753	96.44	4TH FLOOR ROOM NO. 401
82	695	546	725	96.06	107 OLD CHINA BAZAR STREET
1311	671	1546	711	99.38	 KOLKATA INDIA
857	672	1092	708	98.99	 KOLKATA INDIA
82	665	496	696	97.95	 PODDAR BUSINESS PVT. LTD.
78	640	203	670	96.19	Notify Party:
859	634	1037	666	99.76	Port of Discharge:
1313	631	1486	667	99.64	Place of Delivery:
1314	585	1639	616	99.18	 MELBOURNE AUSTRALIA
876	585	1153	616	97.37	 KOTA LUMAYAN 176N
1313	543	1473	578	96.92	Port of Loading:
857	543	1092	576	99.80	Vessel/Voyage Number:
1314	484	1639	517	98.84	 MELBOURNE AUSTRALIA
80	472	222	502	99.27	TO ORDER
857	440	1020	475	96.79	Pre-Carriage by:
80	442	195	473	99.90	Consignee:
1318	440	1483	470	96.45	Place of Receipt:
76	383	271	416	97.78	 AUSTRALIAIN
861	368	1191	407	95.99	 Export Reference: 603496-01
276	358	502	386	95.04	 VICTORIA 3067
78	356	290	388	99.80	ABBOTSFORD
82	328	569	359	96.42	LEVEL 1 70 TRENERRY CRESCENT
1040	312	1237	342	99.82	 MEL400846300
861	309	984	340	99.60	Booking No.
78	301	374	332	99.14	 AUSTRALIA PTY LTD
80	274	553	304	99.58	LOUIS DREYFUS COMPANY GRAINS
80	248	167	273	98.33	Shipper:
524	175	1233	207	99.48	PORT-TO-PORT OR COMBINED TRANSPORT BILL OF LADING
1023	137	1319	178	91.67	 : CO. REG. NO 196700080N
522	141	873	172	97.89	(Incorporated in Singapore)
524	91	1624	127	99.13	PACIFIC INTERNATIONALLINES (PRIVATE) LIMITED
1356	2316	1447	2373	44.09	law
674	2227	790	2258	29.91	:1004-
1442	2105	1479	2159	84.81	2
1646	2071	1701	2125	73.25	p
1446	2055	1483	2102	45.74	7
829	1794	980	1818	88.76	REVERSE
557	1605	619	1640	6.40	00
794	1476	860	1498	61.30	ARTY
611	1425	643	1443	90.32	7
916	1278	927	1289	51.62	l
541	1269	593	1296	35.36	C I
1701	577	1719	618	91.35	1
855	238	1239	279	84.78	Bill of Lading No. MEL
74	53	405	157	56.55	EPIL
